encoding,error_type,error_rate,trial,accuracy,precision,recall,f1_score,execution_time,evaluation_type
amplitude,depolarizing,0.01,0,0.96575,0.9654837148978304,0.96575,0.9650413705177341,0,trained_classifier
amplitude,depolarizing,0.01,1,0.96575,0.9654837148978304,0.96575,0.9650413705177341,0,trained_classifier
amplitude,depolarizing,0.01,2,0.96575,0.9654837148978304,0.96575,0.9650413705177341,0,trained_classifier
angle,depolarizing,0.01,0,0.896,0.9077949836423119,0.896,0.879096381931064,0,trained_classifier
angle,depolarizing,0.01,1,0.896,0.9077949836423119,0.896,0.879096381931064,0,trained_classifier
angle,depolarizing,0.01,2,0.896,0.9077949836423119,0.896,0.879096381931064,0,trained_classifier
basis,depolarizing,0.01,0,0.813,0.6609689999999999,0.813,0.7291439602868175,0,trained_classifier
basis,depolarizing,0.01,1,0.813,0.6609689999999999,0.813,0.7291439602868175,0,trained_classifier
basis,depolarizing,0.01,2,0.813,0.6609689999999999,0.813,0.7291439602868175,0,trained_classifier
amplitude,amplitude_damping,0.01,0,0.96325,0.9630249886841387,0.96325,0.9623579653912216,0,trained_classifier
amplitude,amplitude_damping,0.01,1,0.96325,0.9630249886841387,0.96325,0.9623579653912216,0,trained_classifier
amplitude,amplitude_damping,0.01,2,0.96325,0.9630249886841387,0.96325,0.9623579653912216,0,trained_classifier
angle,amplitude_damping,0.01,0,0.907,0.9162300287192612,0.907,0.894223158181962,0,trained_classifier
angle,amplitude_damping,0.01,1,0.907,0.9162300287192612,0.907,0.894223158181962,0,trained_classifier
angle,amplitude_damping,0.01,2,0.907,0.9162300287192612,0.907,0.894223158181962,0,trained_classifier
basis,amplitude_damping,0.01,0,0.813,0.6609689999999999,0.813,0.7291439602868175,0,trained_classifier
basis,amplitude_damping,0.01,1,0.813,0.6609689999999999,0.813,0.7291439602868175,0,trained_classifier
basis,amplitude_damping,0.01,2,0.813,0.6609689999999999,0.813,0.7291439602868175,0,trained_classifier
amplitude,thermal_relaxation,0.01,0,0.89825,0.9070945690604533,0.89825,0.8830221102083486,0,trained_classifier
amplitude,thermal_relaxation,0.01,1,0.89825,0.9070945690604533,0.89825,0.8830221102083486,0,trained_classifier
amplitude,thermal_relaxation,0.01,2,0.89825,0.9070945690604533,0.89825,0.8830221102083486,0,trained_classifier
angle,thermal_relaxation,0.01,0,0.881,0.8961942060085837,0.881,0.8572909264565425,0,trained_classifier
angle,thermal_relaxation,0.01,1,0.881,0.8961942060085837,0.881,0.8572909264565425,0,trained_classifier
angle,thermal_relaxation,0.01,2,0.881,0.8961942060085837,0.881,0.8572909264565425,0,trained_classifier
basis,thermal_relaxation,0.01,0,0.813,0.6609689999999999,0.813,0.7291439602868175,0,trained_classifier
basis,thermal_relaxation,0.01,1,0.813,0.6609689999999999,0.813,0.7291439602868175,0,trained_classifier
basis,thermal_relaxation,0.01,2,0.813,0.6609689999999999,0.813,0.7291439602868175,0,trained_classifier
