encoding,noise_type,noise_level,accuracy_mean,accuracy_std,accuracy_count,f1_mean,f1_std
amplitude,depolarizing,0.0,0.8972,0.0,3,0.8808,0.0
amplitude,depolarizing,0.001,0.9155,0.0,3,0.9058,0.0
amplitude,depolarizing,0.01,0.9658,0.0,3,0.965,0.0
amplitude,depolarizing,0.05,0.3288,0.0,3,0.3083,0.0
amplitude,amplitude_damping,0.0,0.8972,0.0,3,0.8808,0.0
amplitude,amplitude_damping,0.001,0.8852,0.0,3,0.8641,0.0
amplitude,amplitude_damping,0.01,0.9632,0.0,3,0.9624,0.0
amplitude,amplitude_damping,0.05,0.4128,0.0,3,0.4261,0.0
amplitude,thermal_relaxation,0.0,0.8972,0.0,3,0.8808,0.0
amplitude,thermal_relaxation,0.001,0.8982,0.0,3,0.883,0.0
amplitude,thermal_relaxation,0.01,0.8982,0.0,3,0.883,0.0
amplitude,thermal_relaxation,0.05,0.901,0.0,3,0.8868,0.0
angle,depolarizing,0.0,0.8722,0.0,3,0.8438,0.0
angle,depolarizing,0.001,0.8738,0.0,3,0.8461,0.0
angle,depolarizing,0.01,0.896,0.0,3,0.8791,0.0
angle,depolarizing,0.05,0.9025,0.0,3,0.9089,0.0
angle,amplitude_damping,0.0,0.8722,0.0,3,0.8438,0.0
angle,amplitude_damping,0.001,0.8755,0.0,3,0.8489,0.0
angle,amplitude_damping,0.01,0.907,0.0,3,0.8942,0.0
angle,amplitude_damping,0.05,0.553,0.0,3,0.59,0.0
angle,thermal_relaxation,0.0,0.8722,0.0,3,0.8438,0.0
angle,thermal_relaxation,0.001,0.88,0.0,3,0.8558,0.0
angle,thermal_relaxation,0.01,0.881,0.0,3,0.8573,0.0
angle,thermal_relaxation,0.05,0.882,0.0,3,0.8588,0.0
basis,depolarizing,0.0,0.813,0.0,3,0.7291,0.0
basis,depolarizing,0.001,0.813,0.0,3,0.7291,0.0
basis,depolarizing,0.01,0.813,0.0,3,0.7291,0.0
basis,depolarizing,0.05,0.813,0.0,3,0.7291,0.0
basis,amplitude_damping,0.0,0.813,0.0,3,0.7291,0.0
basis,amplitude_damping,0.001,0.813,0.0,3,0.7291,0.0
basis,amplitude_damping,0.01,0.813,0.0,3,0.7291,0.0
basis,amplitude_damping,0.05,0.813,0.0,3,0.7291,0.0
basis,thermal_relaxation,0.0,0.813,0.0,3,0.7291,0.0
basis,thermal_relaxation,0.001,0.813,0.0,3,0.7291,0.0
basis,thermal_relaxation,0.01,0.813,0.0,3,0.7291,0.0
basis,thermal_relaxation,0.05,0.813,0.0,3,0.7291,0.0
